iter	Passed	Remaining
0	131	131280
1	137	68818
2	143	47700
3	148	37020
4	154	30823
5	160	26600
6	165	23480
7	170	21171
8	176	19399
9	180	17907
10	185	16699
11	190	15702
12	195	14862
13	200	14136
14	203	13379
15	206	12713
16	209	12097
17	211	11534
18	213	11040
19	215	10572
20	217	10134
21	219	9744
22	221	9389
23	223	9077
24	224	8771
25	226	8493
26	229	8259
27	231	8019
28	232	7797
29	235	7628
30	238	7454
31	240	7260
32	241	7082
33	243	6926
34	246	6787
35	247	6636
36	250	6520
37	253	6409
38	255	6295
39	258	6204
40	261	6108
41	263	6017
42	265	5915
43	268	5833
44	271	5756
45	273	5662
46	275	5579
47	277	5509
48	279	5422
49	280	5338
50	283	5270
51	285	5201
52	287	5129
53	289	5071
54	292	5021
55	293	4953
56	295	4887
57	297	4835
58	299	4784
59	301	4725
60	303	4665
61	305	4616
62	307	4568
63	308	4514
64	310	4460
65	312	4418
66	314	4376
67	316	4331
68	317	4287
69	319	4249
70	321	4209
71	323	4169
72	325	4129
73	326	4090
74	329	4059
75	331	4026
76	332	3991
77	335	3966
78	337	3937
79	339	3903
80	341	3870
81	343	3842
82	344	3804
83	346	3774
84	349	3758
85	350	3728
86	352	3699
87	354	3670
88	355	3642
89	357	3615
90	359	3587
91	362	3573
92	365	3569
93	368	3552
94	371	3534
95	375	3533
96	378	3523
97	381	3513
98	383	3492
99	387	3486
100	389	3468
101	391	3449
102	393	3430
103	396	3418
104	398	3396
105	400	3376
106	402	3363
107	405	3348
108	407	3330
109	410	3318
110	413	3309
111	415	3295
112	418	3285
113	420	3269
114	422	3252
115	426	3250
116	428	3232
117	431	3221
118	435	3226
119	437	3210
120	441	3208
121	443	3195
122	448	3195
123	450	3181
124	453	3174
125	456	3165
126	458	3152
127	461	3147
128	465	3139
129	467	3126
130	469	3113
131	472	3106
132	474	3096
133	478	3091
134	481	3084
135	484	3078
136	487	3071
137	490	3063
138	494	3060
139	496	3050
140	500	3051
141	503	3039
142	506	3033
143	509	3029
144	511	3016
145	513	3005
146	515	2993
147	518	2983
148	522	2982
149	524	2974
150	529	2974
151	531	2963
152	533	2951
153	537	2953
154	539	2941
155	541	2931
156	544	2924
157	547	2916
158	549	2905
159	551	2897
160	553	2883
161	555	2872
162	557	2864
163	559	2853
164	562	2846
165	564	2835
166	566	2828
167	569	2818
168	571	2808
169	573	2798
170	575	2788
171	577	2778
172	579	2767
173	581	2759
174	583	2752
175	585	2741
176	588	2734
177	590	2728
178	593	2720
179	596	2715
180	598	2706
181	599	2695
182	601	2686
183	604	2681
184	607	2676
185	609	2667
186	611	2660
187	613	2650
188	616	2643
189	619	2639
190	621	2631
191	623	2622
192	625	2615
193	627	2606
194	629	2599
195	631	2590
196	634	2584
197	636	2577
198	638	2570
199	640	2563
200	643	2559
201	645	2551
202	647	2544
203	650	2537
204	652	2529
205	654	2520
206	656	2513
207	658	2505
208	660	2498
209	661	2490
